DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
579.5,-999.25,0.6,0.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
580,-999.25,0.67,0.7,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
580.5,-999.25,0.62,0.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
581,-999.25,0.55,0.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
581.5,-999.25,0.5598,0.6295,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
582,-999.25,0.52,0.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
582.5,-999.25,0.54,0.58,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
583,-999.25,0.63,0.63,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
583.5,-999.25,0.68,0.66,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
584,-999.25,0.7476,0.7429,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
584.5,-999.25,0.31,0.52,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
585,-999.25,0.3199,0.5498,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
585.5,-999.25,0.3,0.51,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
586,-999.25,0.28,0.45,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
586.5,-999.25,0.3903,0.5609,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
587,-999.25,0.4795,0.6492,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
587.5,-999.25,0.4101,0.5701,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
588,-999.25,0.3706,0.5518,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
588.5,-999.25,0.3595,0.53,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
589,-999.25,0.3613,0.4922,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
589.5,-999.25,0.5206,0.6702,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
590,-999.25,0.6399,0.6903,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
590.5,-999.25,0.5037,0.6213,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
591,-999.25,0.5,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
591.5,-999.25,0.4897,0.6293,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
592,-999.25,0.5297,0.6695,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
592.5,-999.25,0.4504,0.6,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
593,-999.25,0.4597,0.6,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
593.5,-999.25,0.5,0.63,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
594,-999.25,0.49,0.62,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
594.5,-999.25,0.48,0.61,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
595,-999.25,0.5,0.61,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
595.5,-999.25,0.5,0.65,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
596,-999.25,0.5217,0.672,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
596.5,-999.25,0.5906,0.7504,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
597,-999.25,0.67,0.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
597.5,-999.25,0.76,0.86,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
598,-999.25,0.74,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
598.5,-999.25,0.8194,0.8989,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
599,-999.25,0.78,0.83,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
599.5,-999.25,0.64,0.6903,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
600,-999.25,0.5911,0.6705,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
600.5,-999.25,0.5989,0.6798,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
601,-999.25,0.5501,0.6699,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
601.5,-999.25,0.5,0.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
602,-999.25,0.4606,0.6105,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
602.5,-999.25,0.53,0.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
603,-999.25,0.48,0.57,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
603.5,-999.25,0.41,0.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
604,-999.25,0.4596,0.6499,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
604.5,-999.25,0.3137,0.5525,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
605,-999.25,0.38,0.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
605.5,-999.25,0.4007,0.5895,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
606,-999.25,0.44,0.56,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
606.5,-999.25,0.5,0.66,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
