DEPT,ECGR,ATRT,DTCO,DTSM,RHOB,NPHI
490,17.6006,0.6898,-999.25,-999.25,-999.25,-999.25
490.5,17.6006,0.6898,-999.25,-999.25,-999.25,-999.25
491,17.6006,0.6898,-999.25,-999.25,-999.25,-999.25
491.5,16.7792,0.6959,-999.25,-999.25,-999.25,-999.25
492,15.9579,0.6959,-999.25,-999.25,-999.25,-999.25
492.5,15.1365,0.6959,-999.25,-999.25,-999.25,-999.25
493,15.1365,0.6959,-999.25,-999.25,-999.25,-999.25
493.5,15.1365,0.693,-999.25,-999.25,-999.25,-999.25
494,14.6085,0.693,-999.25,-999.25,-999.25,-999.25
494.5,14.0805,0.693,-999.25,-999.25,-999.25,-999.25
495,14.0805,0.693,-999.25,-999.25,-999.25,-999.25
495.5,14.0805,0.4641,-999.25,-999.25,-999.25,-999.25
496,13.7284,0.6978,-999.25,-999.25,-999.25,-999.25
496.5,12.6724,0.6978,-999.25,-999.25,-999.25,-999.25
497,12.6724,0.6978,-999.25,-999.25,-999.25,-999.25
497.5,12.6724,0.7058,-999.25,-999.25,-999.25,-999.25
498,10.5604,0.7058,-999.25,-999.25,-999.25,-999.25
498.5,10.5604,0.7058,-999.25,-999.25,-999.25,-999.25
499,10.5604,0.4674,-999.25,-999.25,-999.25,-999.25
499.5,10.9124,0.7017,-999.25,-999.25,-999.25,-999.25
500,11.2644,0.7017,-999.25,-999.25,-999.25,-999.25
500.5,11.6164,0.7017,-999.25,-999.25,-999.25,-999.25
501,11.6164,0.7017,-999.25,-999.25,-999.25,-999.25
501.5,11.6164,0.698,-999.25,-999.25,-999.25,-999.25
502,11.2644,0.698,-999.25,-999.25,-999.25,-999.25
502.5,10.9124,0.698,-999.25,-999.25,-999.25,-999.25
503,10.5604,0.698,-999.25,-999.25,-999.25,-999.25
503.5,10.5604,0.698,-999.25,-999.25,-999.25,-999.25
504,10.5604,0.698,-999.25,-999.25,-999.25,-999.25
504.5,12.2898,0.4651,-999.25,-999.25,-999.25,-999.25
505,14.0192,0.4651,-999.25,-999.25,-999.25,-999.25
505.5,15.7487,0.4263,-999.25,-999.25,-999.25,-999.25
506,16.1925,0.4553,-999.25,-999.25,-999.25,-999.25
506.5,16.1925,0.449,-999.25,-999.25,-999.25,-999.25
